support_tickets_last90d,label_churned,signup_date,region,is_premium,avg_monthly_spend,days_since_last_login,months_active,customer_id,primary_channel
1,0,2024-07-05,APAC,0,344.24,83,47,31334,Web
2,0,2024-03-14,AMER,0,223.06,118,44,14896,Web
1,1,2024-12-08,AMER,1,91.44,106,36,73514,WhatsApp
5,1,2024-01-06,APAC,0,224.28,118,21,53650,Web
1,0,2024-06-04,EMEA,0,500.45,81,26,19199,Web
1,1,2024-03-20,LATAM,1,252.76,91,40,44263,Retail
1,0,2024-03-17,APAC,1,225.15,15,7,75907,Mobile
0,1,2024-02-05,EMEA,1,320.69,101,35,57798,Web
2,0,2024-02-20,APAC,1,311.38,115,26,88345,Mobile
2,1,2024-08-22,EMEA,0,147.51,105,21,60715,Web
2,0,2024-07-19,APAC,0,360.44,16,38,73088,Web
0,0,2024-11-10,LATAM,0,113.39,57,14,55211,Web
3,0,2024-10-20,EMEA,0,163.03,53,34,89072,Web
2,0,2024-08-27,LATAM,1,64.5,82,11,66302,Web
2,1,2024-04-08,APAC,0,93.28,86,24,64094,Web
1,1,2024-10-24,LATAM,1,226.25,111,39,24705,Retail
3,0,2024-07-18,EMEA,1,430.77,11,43,86300,Mobile
1,0,2024-04-03,AMER,1,142.64,10,12,13782,Mobile
2,0,2024-02-20,APAC,0,120.55,2,24,26690,Web
4,0,2024-06-18,AMER,0,322.52,47,14,97621,Web
2,0,2024-05-08,EMEA,0,158.74,92,27,39959,Retail
1,0,2024-04-09,AMER,1,315.94,51,17,60599,Web
1,0,2024-05-29,AMER,1,543.92,90,10,98359,Web
4,1,2024-05-03,AMER,1,138.45,100,10,49988,Retail
0,0,2024-03-22,AMER,0,251.76,68,16,74644,Mobile
2,0,2024-04-05,LATAM,0,280.59,18,10,96473,Web
2,0,2024-07-22,APAC,1,118.88,116,41,32658,Mobile
3,0,2024-05-22,APAC,0,546.6,87,27,23278,Web
1,0,2024-05-08,EMEA,1,95.87,70,17,88290,Mobile
1,0,2024-08-06,AMER,1,104.22,79,7,61998,WhatsApp
3,0,2024-12-04,APAC,1,530.81,13,25,29592,Web
4,0,2024-03-08,AMER,1,154.14,70,12,63614,WhatsApp
2,0,2024-03-15,APAC,0,198.78,99,39,59917,Web
1,0,2024-04-26,APAC,1,503.33,82,18,96835,Mobile
1,1,2024-08-01,APAC,0,480.44,85,14,60067,Mobile
0,0,2024-10-19,EMEA,1,329.1,13,28,93743,Web
2,1,2024-05-13,EMEA,0,99.32,85,12,75345,WhatsApp
0,0,2024-11-22,EMEA,0,67.41,103,13,31397,Web
1,0,2024-05-11,EMEA,0,241.81,23,21,92438,Web
1,0,2024-08-25,APAC,1,283.48,48,12,79969,WhatsApp
1,1,2024-11-10,APAC,0,311.07,101,19,31934,Retail
0,0,2024-01-04,APAC,0,228.61,9,40,56862,Mobile
3,0,2024-03-03,APAC,0,336.04,65,21,61404,WhatsApp
1,0,2024-01-21,AMER,1,159.44,67,21,33839,Mobile
1,0,2024-07-28,APAC,1,133.08,97,42,71564,WhatsApp
0,0,2024-07-05,APAC,1,201.84,53,2,15042,WhatsApp
1,0,2024-09-13,LATAM,0,194.59,46,25,41631,WhatsApp
1,0,2024-08-05,AMER,0,95.39,0,35,51962,Retail
1,1,2024-01-30,EMEA,0,273.72,111,47,41881,Web
3,0,2024-06-08,APAC,0,298.3,82,29,66299,Web
2,0,2024-07-10,APAC,1,367.68,38,26,11871,Retail
1,0,2024-07-10,LATAM,0,464.24,46,10,47160,Web
1,0,2024-11-08,APAC,0,338.13,84,11,49039,Mobile
2,0,2024-05-08,APAC,0,181.95,43,28,23391,Web
0,0,2024-04-24,AMER,0,344.73,71,14,41950,Mobile
0,0,2024-03-29,EMEA,1,152.65,30,16,42535,Mobile
1,0,2024-08-27,APAC,1,100.67,15,41,47546,Web
1,0,2024-01-31,LATAM,1,197.64,25,5,71621,Mobile
3,0,2024-03-30,AMER,0,128.76,24,46,24416,WhatsApp
1,0,2024-08-31,APAC,1,262.42,55,7,63476,WhatsApp
0,0,2024-04-13,AMER,1,136.09,110,40,84233,Mobile
1,0,2024-02-03,AMER,0,573.76,63,43,74347,Mobile
3,0,2024-01-22,LATAM,1,114.2,88,10,60804,Retail
4,0,2024-11-17,AMER,0,965.83,119,1,39976,Web
0,0,2024-08-16,LATAM,1,7.43,4,9,60507,WhatsApp
1,0,2024-01-25,APAC,0,248.74,45,19,61630,Retail
2,0,2024-03-02,LATAM,1,104.24,11,34,63502,Retail
0,0,2024-12-17,EMEA,0,253.82,26,21,11918,Retail
3,1,2024-09-06,EMEA,1,374.74,115,28,21168,Web
2,0,2024-04-01,APAC,0,26.33,15,5,34661,Retail
1,0,2024-07-14,EMEA,0,671.66,91,23,28057,Web
2,1,2024-06-17,APAC,0,677.93,61,2,98751,Retail
1,0,2024-02-10,APAC,1,128.58,60,6,95216,Web
1,0,2024-09-11,APAC,0,273.04,70,2,72857,Mobile
4,0,2024-01-01,APAC,0,472.91,89,5,56056,Web
0,0,2024-11-20,EMEA,1,209.2,38,1,39418,Mobile
1,0,2024-06-11,APAC,0,272.54,7,10,52520,Mobile
1,0,2024-11-20,AMER,1,381.58,94,18,89151,WhatsApp
0,0,2024-11-23,APAC,0,64.91,4,20,60055,Mobile
2,1,2024-03-13,LATAM,1,269.6,117,30,71068,Mobile
0,0,2024-06-08,APAC,1,190.68,88,2,98895,Web
2,1,2024-12-22,APAC,0,287.66,85,20,60906,Web
5,0,2024-01-23,APAC,0,311.3,30,28,49848,WhatsApp
1,0,2024-03-16,LATAM,0,104.87,22,28,61215,Mobile
0,1,2024-04-27,LATAM,0,902.75,87,19,51000,Web
2,0,2024-01-04,EMEA,0,33.44,34,35,53608,WhatsApp
1,0,2024-01-27,AMER,0,189.78,115,23,53055,WhatsApp
1,0,2024-06-11,AMER,0,138.23,35,2,44568,WhatsApp
1,1,2024-05-14,APAC,0,299.18,83,34,16380,Mobile
1,0,2024-07-29,EMEA,0,376.23,13,37,58779,Web
1,0,2024-01-05,APAC,1,466.0,56,2,89480,Mobile
1,0,2024-05-27,APAC,0,98.91,54,13,55871,Web
0,0,2024-02-24,APAC,1,682.13,5,9,49356,Mobile
1,0,2024-05-04,LATAM,1,193.61,87,4,16261,Mobile
3,0,2024-07-01,AMER,0,166.96,11,14,34924,Mobile
1,0,2024-05-29,APAC,1,236.28,8,41,70338,Mobile
3,1,2024-03-28,EMEA,0,270.75,100,18,20968,Web
